param,dispName,unit
Subject,Subject,
auclast,AUC\SB{last}, (h*mg/L)
auc24,AUC\SB{24}, (h*mg/L)
auc24.120,AUC\SB{24-120}, (h*mg/L)
aucinf.pred,AUC\SB{$\infty$.pred}, (h*mg/L)
aucinf.obs,AUC\SB{$\infty$.obs}, (h*mg/L)
aucall,AUC\SB{all}, (h*mg/L)
aumcall,AUMC\SB{all}, (h^2*mg/L)
auctau,AUC\SB{tau}, (h*mg/L)
auctauss,AUC\SB{tauSS}, (h*mg/L)
aumctau,AUMC\SB{tau}, (h^2*mg/L)
aumclast,AUMC\SB{last}, (h^2*mg/L)
auclast.d,AUC\SB{last}, (h*mg/L)
clast.obs,C\SB{last}, (mg/L)
cl.obs,CL\SB{last}, (L/h)
cl.f.obs,CL/F\SB{PRED}, (L/h)
cl.pred,CL\SB{PRED}, (L/h)
cl.f.pred,CL/F\SB{PRED}, (L/h)
clss,CL\SB{SS}, (L/h)
clss.f,CL\SB{SS}/F, (L/h)
vss.pred,V\SB{SS.pred}, (L)
vss.obs,V\SB{SS.obs}, (L)
vz.pred,V\SB{z}, (L)
cmax,C\SB{max}, (mg/L)
cavg,C\SB{avg}, (mg/L)
cmin,C\SB{min}, (mg/L)
clast,C\SB{last}, (mg/L)
cmax.d,C\SB{max}/D, (mg/L/mg)
cmaxss,"C\SB{max,SS}", (mg/L)
cend,C\SB{end}, (mg/L)
lambda_z,$\lambda$\SB{z}, (1/h)
tlag,t\SB{lag}, (h)
tmax,T\SB{max}, (h)
tlast,T\SB{last}, (h)
tlast.ok,T\SB{last.ok}, (h)
t0.ok,T\SB{0.ok}, (h)
LAMZLL,"$\lambda$\SB{z,LL}", (h)
hl.lambda.z,t\SB{1/2}, (h)
mrtlast,MRT\SB{last}, (h)
mrtall,MRT\SB{all}, (h)
hl.eff,t\SB{1/2eff}, (h)
NA,"""""",""""""
vz.obs,V\SB{z}, (L)
cl24.120.obs,CL\SB{24-120}, (L/h)
route,route,
method,method,
tau,Tau, (h)
calc.tau,calc.tau,
calc.teval,calc.teval,
aucteval,aucteval,
teval,teval,
calc.part,calc.part,
aucpart,aucpart,
tstart,t\SB{start}, (h)
tend,t\SB{end}, (h)
c0,c\SB{0}, (mg/L)
area.back.extr,area.back.extr,
no.points,no.points,
intercept,intercept,
lambda_z,lambda_z,
r.squared,r.squared,
adj.r.squared,adj.r.squared,
start_th,start_th,
end_th,end_th,
thalf,t\SB{1/2}, (h)
includeCmax,includeCmax,
points_excluded,points_excluded,
DOSE,Dose, (mg)
WT,Weight, (kg)
factor,factor,
reg,reg,
ss,ss,
clast.pred,C\SB{last.pred}, (mg/L)
aumcinf.pred,AUMC\SB{$\infty$.pred}, (h*mg/L)
aumcinf.obs,AUMC\SB{$\infty$.obs}, (h*mg/L)
mrtinf.obs,MRT\SB{$\infty$.obs}, (h)
mrtinf.pred,MRT\SB{$\infty$.pred}, (h)
pctextr.obs,pctextr.obs,
pctextr.pred,pctextr.pred,
pctback.obs,pctback.obs,
pctback.pred,pctback.pred,
vz.f.obs,V/F\SB{OBS}, (L/h)
vz.f.obs,V/F\SB{PRED}, (L/h)
